Temp-Sensor 29.4206 1765001447689 1765001448090 1
Press-Sensor 283.142 1765001447689 1765001448090 1
flow-Sensor 575.368 1765001447589 1765001448090 0
Temp-Sensor 66.4189 1765001447789 1765001448590 2
Press-Sensor 302.375 1765001447789 1765001448590 2
flow-Sensor 887.592 1765001447689 1765001448590 1
Temp-Sensor 60.4565 1765001447890 1765001449091 3
flow-Sensor 891.103 1765001447789 1765001449091 2
Temp-Sensor 89.3553 1765001447990 1765001449592 4
flow-Sensor 809.544 1765001447890 1765001449592 3
Temp-Sensor 39.4893 1765001448090 1765001450092 5
flow-Sensor 542.275 1765001447990 1765001450093 4
Temp-Sensor 66.0272 1765001448190 1765001450593 6
flow-Sensor 534.229 1765001448090 1765001450593 5
Temp-Sensor 87.1647 1765001448290 1765001451093 7
flow-Sensor 598.086 1765001448190 1765001451093 6
Temp-Sensor 35.3532 1765001448390 1765001451594 8
flow-Sensor 585.707 1765001448290 1765001451594 7
Temp-Sensor 36.6649 1765001448490 1765001452094 9
flow-Sensor 641.085 1765001448390 1765001452094 8
Temp-Sensor 33.8342 1765001448591 1765001452595 10
Press-Sensor 231.43 1765001448591 1765001452595 10
flow-Sensor 620.75 1765001448490 1765001452595 9
Temp-Sensor 53.0234 1765001448691 1765001453096 11
flow-Sensor 576.404 1765001448591 1765001453096 10
Temp-Sensor 88.3286 1765001448791 1765001453596 12
flow-Sensor 593.981 1765001448691 1765001453596 11
Press-Sensor 237.453 1765001448891 1765001454097 13
flow-Sensor 588.792 1765001448791 1765001454097 12
Temp-Sensor 57.6427 1765001448991 1765001454597 14
flow-Sensor 943.728 1765001448891 1765001454597 13
Temp-Sensor 59.4072 1765001449091 1765001455098 15
flow-Sensor 858.716 1765001448991 1765001455098 14
Temp-Sensor 31.1639 1765001449191 1765001455598 16
flow-Sensor 958.7 1765001449091 1765001455598 15
Temp-Sensor 85.6266 1765001449292 1765001456098 17
flow-Sensor 529.486 1765001449192 1765001456098 16
Temp-Sensor 22.6955 1765001449392 1765001456599 18
flow-Sensor 645.381 1765001449292 1765001456599 17
Temp-Sensor 70.7446 1765001449492 1765001457099 19
flow-Sensor 796.714 1765001449392 1765001457099 18
Temp-Sensor 83.5 1765001449592 1765001457599 20
flow-Sensor 532.319 1765001449492 1765001457600 19
Temp-Sensor 38.7244 1765001449692 1765001458100 21
flow-Sensor 796.789 1765001449592 1765001458100 20
Temp-Sensor 61.379 1765001449792 1765001458600 22
flow-Sensor 504.874 1765001449692 1765001458600 21
Temp-Sensor 30.6755 1765001449893 1765001459100 23
Press-Sensor 236.115 1765001449893 1765001459100 23
flow-Sensor 726.722 1765001449792 1765001459100 22
Temp-Sensor 59.0881 1765001449993 1765001459601 24
flow-Sensor 808.455 1765001449893 1765001459601 23
Temp-Sensor 49.1747 1765001450093 1765001460101 25
flow-Sensor 802.491 1765001449993 1765001460101 24
Press-Sensor 229.927 1765001450193 1765001460602 26
flow-Sensor 608.204 1765001450093 1765001460602 25
Temp-Sensor 80.804 1765001450293 1765001461102 27
flow-Sensor 768.129 1765001450193 1765001461102 26
Temp-Sensor 77.2689 1765001450393 1765001461602 28
Press-Sensor 221.038 1765001450394 1765001461602 28
flow-Sensor 935.713 1765001450293 1765001461602 27
Temp-Sensor 93.9059 1765001450493 1765001462103 29
flow-Sensor 758.295 1765001450393 1765001462103 28
Temp-Sensor 36.0305 1765001450593 1765001462603 30
flow-Sensor 790.279 1765001450494 1765001462603 29
flow-Sensor 664.678 1765001450594 1765001463104 30
Temp-Sensor 64.6089 1765001450793 1765001463604 32
flow-Sensor 884.404 1765001450694 1765001463604 31
Temp-Sensor 74.9842 1765001450894 1765001464104 33
flow-Sensor 989.525 1765001450794 1765001464104 32
flow-Sensor 865.435 1765001450894 1765001464605 33
Temp-Sensor 42.3525 1765001451094 1765001465105 35
flow-Sensor 942.576 1765001450994 1765001465105 34
Temp-Sensor 54.4733 1765001451194 1765001465605 36
flow-Sensor 918.279 1765001451094 1765001465605 35
Temp-Sensor 30.8982 1765001451294 1765001466106 37
flow-Sensor 940.456 1765001451195 1765001466106 36
Temp-Sensor 61.5984 1765001451394 1765001466606 38
flow-Sensor 519.067 1765001451295 1765001466606 37
Temp-Sensor 57.5814 1765001451494 1765001467106 39
flow-Sensor 731.352 1765001451395 1765001467106 38
